"id","group","realtime","y"
"000_0005","Ch01: FGF 250 ng/ml 10'",0,1.01224809553147
"000_0005","Ch01: FGF 250 ng/ml 10'",2,1.0164937125171
"000_0005","Ch01: FGF 250 ng/ml 10'",4,1.00817967226013
"000_0005","Ch01: FGF 250 ng/ml 10'",6,0.997971539053764
"000_0005","Ch01: FGF 250 ng/ml 10'",8,1.00908839059444
"000_0005","Ch01: FGF 250 ng/ml 10'",10,1.00868019271018
"000_0005","Ch01: FGF 250 ng/ml 10'",12,1.0028352755544
"000_0005","Ch01: FGF 250 ng/ml 10'",14,0.985849958820487
"000_0005","Ch01: FGF 250 ng/ml 10'",16,0.963423027504023
"000_0005","Ch01: FGF 250 ng/ml 10'",18,1.00186675720358
"000_0005","Ch01: FGF 250 ng/ml 10'",20,0.997556716220378
"000_0005","Ch01: FGF 250 ng/ml 10'",22,0.979135443200729
"000_0005","Ch01: FGF 250 ng/ml 10'",24,1.00136838862183
"000_0005","Ch01: FGF 250 ng/ml 10'",26,0.9772901719527
"000_0005","Ch01: FGF 250 ng/ml 10'",28,0.981585926959539
"000_0005","Ch01: FGF 250 ng/ml 10'",30,1.00516066923934
"000_0005","Ch01: FGF 250 ng/ml 10'",32,1.01660277637859
"000_0005","Ch01: FGF 250 ng/ml 10'",34,1.01282836784119
"000_0005","Ch01: FGF 250 ng/ml 10'",36,0.984378792553027
"000_0005","Ch01: FGF 250 ng/ml 10'",38,1.03117422532778
"000_0005","Ch01: FGF 250 ng/ml 10'",40,1.00628189995533
"000_0005","Ch01: FGF 250 ng/ml 10'",42,0.985764196317328
"000_0005","Ch01: FGF 250 ng/ml 10'",44,0.994345817003986
"000_0005","Ch01: FGF 250 ng/ml 10'",46,1.00520034572228
"000_0005","Ch01: FGF 250 ng/ml 10'",48,1.03118017571267
"000_0005","Ch01: FGF 250 ng/ml 10'",50,1.12983897686493
"000_0005","Ch01: FGF 250 ng/ml 10'",52,1.15439033797482
"000_0005","Ch01: FGF 250 ng/ml 10'",54,1.13611029020902
"000_0005","Ch01: FGF 250 ng/ml 10'",56,1.11866439387084
"000_0005","Ch01: FGF 250 ng/ml 10'",58,1.07951701879199
"000_0005","Ch01: FGF 250 ng/ml 10'",60,1.04080875428325
"000_0005","Ch01: FGF 250 ng/ml 10'",62,1.00526745613499
"000_0005","Ch01: FGF 250 ng/ml 10'",64,1.01612173152373
"000_0005","Ch01: FGF 250 ng/ml 10'",66,1.00069920739304
"000_0005","Ch01: FGF 250 ng/ml 10'",68,0.991777204418095
"000_0005","Ch01: FGF 250 ng/ml 10'",70,0.999183762228839
"000_0005","Ch01: FGF 250 ng/ml 10'",72,0.987473944309254
"000_0005","Ch01: FGF 250 ng/ml 10'",74,0.993009743522207
"000_0005","Ch01: FGF 250 ng/ml 10'",76,0.987385421472476
"000_0005","Ch01: FGF 250 ng/ml 10'",78,0.999241637550556
"000_0005","Ch01: FGF 250 ng/ml 10'",80,1.00063002520923
"000_0005","Ch01: FGF 250 ng/ml 10'",82,1.02126353398134
"000_0005","Ch01: FGF 250 ng/ml 10'",84,1.00746002495416
"000_0005","Ch01: FGF 250 ng/ml 10'",86,1.01504589527666
"000_0005","Ch01: FGF 250 ng/ml 10'",88,1.00623635379084
"000_0005","Ch01: FGF 250 ng/ml 10'",90,0.981616410052778
"000_0005","Ch01: FGF 250 ng/ml 10'",92,0.998917183846215
"000_0005","Ch01: FGF 250 ng/ml 10'",94,1.00946844011953
"000_0005","Ch01: FGF 250 ng/ml 10'",96,1.00190908068691
"000_0005","Ch01: FGF 250 ng/ml 10'",98,0.995947716562484
"000_0005","Ch01: FGF 250 ng/ml 10'",100,1.01423288216053
"000_0005","Ch01: FGF 250 ng/ml 10'",102,0.995098931062232
"000_0005","Ch01: FGF 250 ng/ml 10'",104,0.99855375160235
"000_0005","Ch01: FGF 250 ng/ml 10'",106,1.02337530304034
"000_0005","Ch01: FGF 250 ng/ml 10'",108,1.01651013370372
"000_0005","Ch01: FGF 250 ng/ml 10'",110,1.0160232417127
"000_0005","Ch01: FGF 250 ng/ml 10'",112,1.01193559644688
"000_0005","Ch01: FGF 250 ng/ml 10'",114,1.02350669183371
"000_0005","Ch01: FGF 250 ng/ml 10'",116,0.997876992072381
"000_0005","Ch01: FGF 250 ng/ml 10'",118,0.98679892987953
"000_0005","Ch01: FGF 250 ng/ml 10'",120,1.00614468146313
"000_0005","Ch01: FGF 250 ng/ml 10'",122,1.02684158431228
"000_0005","Ch01: FGF 250 ng/ml 10'",124,1.02423477291432
"000_0005","Ch01: FGF 250 ng/ml 10'",126,1.02022928473176
"000_0005","Ch01: FGF 250 ng/ml 10'",128,1.01502362460912
"000_0005","Ch01: FGF 250 ng/ml 10'",130,1.01192616551264
"000_0005","Ch01: FGF 250 ng/ml 10'",132,1.0296350594816
"000_0005","Ch01: FGF 250 ng/ml 10'",134,1.01176337978742
"000_0005","Ch01: FGF 250 ng/ml 10'",136,1.00346040560925
"000_0005","Ch01: FGF 250 ng/ml 10'",138,0.997496736200683
"000_0005","Ch01: FGF 250 ng/ml 10'",140,0.979628207901078
"000_0005","Ch01: FGF 250 ng/ml 10'",142,0.997377427533828
"000_0005","Ch01: FGF 250 ng/ml 10'",144,0.989409665222668
"000_0005","Ch01: FGF 250 ng/ml 10'",146,0.991166578750608
"000_0005","Ch01: FGF 250 ng/ml 10'",148,1.00092213377344
"000_0005","Ch01: FGF 250 ng/ml 10'",150,0.99443970479637
"000_0005","Ch01: FGF 250 ng/ml 10'",152,0.991303710185365
"000_0005","Ch01: FGF 250 ng/ml 10'",154,1.00635042717469
"000_0005","Ch01: FGF 250 ng/ml 10'",156,1.00075591336706
"000_0005","Ch01: FGF 250 ng/ml 10'",158,0.989081144339421
"000_0005","Ch01: FGF 250 ng/ml 10'",160,0.990496921724887
"000_0005","Ch01: FGF 250 ng/ml 10'",162,0.990495599304388
"000_0005","Ch01: FGF 250 ng/ml 10'",164,0.991777462230053
"000_0005","Ch01: FGF 250 ng/ml 10'",166,0.99037334521666
"000_0005","Ch01: FGF 250 ng/ml 10'",168,0.997465691651021
"000_0005","Ch01: FGF 250 ng/ml 10'",170,0.996326794497476
"000_0005","Ch01: FGF 250 ng/ml 10'",172,0.990660142212254
"000_0005","Ch01: FGF 250 ng/ml 10'",174,0.986513132638251
"000_0005","Ch01: FGF 250 ng/ml 10'",176,0.989820420527962
"000_0005","Ch01: FGF 250 ng/ml 10'",178,0.989927832497218
"000_0005","Ch01: FGF 250 ng/ml 10'",180,0.996233770213295
"000_0007","Ch01: FGF 250 ng/ml 10'",0,1.00829176868161
"000_0007","Ch01: FGF 250 ng/ml 10'",2,1.01000905755361
"000_0007","Ch01: FGF 250 ng/ml 10'",4,0.993978910100774
"000_0007","Ch01: FGF 250 ng/ml 10'",6,1.00357785240212
"000_0007","Ch01: FGF 250 ng/ml 10'",8,1.00369801828025
"000_0007","Ch01: FGF 250 ng/ml 10'",10,1.00346877831551
