"Metadata_Series","Metadata_T","TrackObjects_Label","Intensity_MeanIntensity_Ratio","TrackObjects_Label_uni","RealTime","Stim_All_Ch","Stim_All_S"
0,0,1,1149.17179023929,"00_0001",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,5,1210.22271318045,"00_0005",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,6,1101.098453335,"00_0006",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,7,1180.42581281144,"00_0007",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,8,1106.43420261923,"00_0008",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,11,1132.04033500607,"00_0011",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,12,1146.47956387309,"00_0012",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,13,1250.84517740365,"00_0013",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,14,1230.9733264233,"00_0014",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,15,1178.43779111812,"00_0015",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,17,1120.98997250245,"00_0017",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,19,1175.93735797216,"00_0019",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,22,1192.93647956445,"00_0022",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,23,1257.26077104909,"00_0023",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,24,1123.73821927584,"00_0024",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,25,1205.49999589552,"00_0025",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,26,1109.3934620128,"00_0026",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,28,1233.70974104974,"00_0028",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,29,1182.20809775905,"00_0029",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,37,1161.87085236284,"00_0037",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,38,1189.06326318892,"00_0038",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,40,1205.90414013819,"00_0040",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,0,41,1163.85717731489,"00_0041",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,1,1139.58392343403,"00_0001",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,5,1215.29868430863,"00_0005",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,6,1100.45328351255,"00_0006",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,7,1182.43627463957,"00_0007",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,8,1097.75953770269,"00_0008",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,11,1134.87107114972,"00_0011",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,12,1120.53345578216,"00_0012",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,13,1257.34800720215,"00_0013",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,14,1220.99128766388,"00_0014",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,15,1167.93655412847,"00_0015",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,17,1137.0489402852,"00_0017",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,19,1155.47255114614,"00_0019",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,22,1185.17757570946,"00_0022",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,23,1263.38641807778,"00_0023",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,24,1112.7762478385,"00_0024",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,25,1185.99683422133,"00_0025",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,26,1097.95961587088,"00_0026",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,28,1223.66852946858,"00_0028",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,29,1166.9091311191,"00_0029",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,37,1156.21072296598,"00_0037",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,38,1186.47750821321,"00_0038",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,40,1166.71387790498,"00_0040",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,41,1134.97592432969,"00_0041",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,1,1133.6777438256,"00_0001",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,5,1205.3585911618,"00_0005",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,6,1109.2534164483,"00_0006",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,7,1163.66948468428,"00_0007",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,8,1081.70386161173,"00_0008",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,11,1136.27460987781,"00_0011",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,12,1126.25545271908,"00_0012",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,13,1264.01248164342,"00_0013",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,14,1223.38741894531,"00_0014",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,15,1168.55869687208,"00_0015",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,17,1136.57629595116,"00_0017",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,19,1156.46196455114,"00_0019",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,22,1163.07558138303,"00_0022",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,23,1263.32608812909,"00_0023",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,24,1093.1243125514,"00_0024",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,25,1189.96669196832,"00_0025",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,26,1097.09125684655,"00_0026",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,28,1215.59950126205,"00_0028",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,29,1170.43838119507,"00_0029",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,37,1156.50937965872,"00_0037",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,38,1181.11108732877,"00_0038",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,40,1177.04574623837,"00_0040",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,41,1162.11455114564,"00_0041",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,1,1133.77411606138,"00_0001",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,5,1193.15395998487,"00_0005",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,6,1100.83783275776,"00_0006",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,7,1174.90714388189,"00_0007",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,8,1104.91137219445,"00_0008",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,11,1120.49302973066,"00_0011",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,12,1112.75690177857,"00_0012",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,13,1263.22135487265,"00_0013",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,15,1175.50877816336,"00_0015",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,14,1216.81113821561,"00_0014",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,17,1130.67594372653,"00_0017",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,19,1161.90131923131,"00_0019",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,22,1156.80320901933,"00_0022",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,23,1257.83401465873,"00_0023",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,24,1114.43129262455,"00_0024",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,25,1186.68869791559,"00_0025",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,26,1083.08301482024,"00_0026",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,28,1204.4961643126,"00_0028",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,29,1168.72638501989,"00_0029",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,37,1161.82379565193,"00_0037",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,38,1162.70824457525,"00_0038",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,40,1171.63220060812,"00_0040",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,41,1134.21278542259,"00_0041",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,4,1,1140.16433383451,"00_0001",8,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,4,5,1206.44503585152,"00_0005",8,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,4,6,1099.83157293547,"00_0006",8,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,4,7,1175.04782429679,"00_0007",8,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,4,8,1098.87406622445,"00_0008",8,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,4,11,1118.04583903721,"00_0011",8,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,4,12,1111.36718408921,"00_0012",8,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,4,13,1259.18192606214,"00_0013",8,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,4,15,1182.38256092072,"00_0015",8,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
