"Metadata_Series","Metadata_T","TrackObjects_Label","Intensity_MeanIntensity_Ratio","TrackObjects_Label_uni","RealTime","Stim_All_Ch","Stim_All_S"
0,0,2,1117.07860600455,"00_0002",0,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,0,5,1146.8771985099,"00_0005",0,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,0,6,1183.28968705335,"00_0006",0,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,0,11,1145.02975609745,"00_0011",0,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,0,12,1173.69734408997,"00_0012",0,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,0,13,1144.25191978317,"00_0013",0,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,0,15,1382.196864446,"00_0015",0,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,0,19,1090.03477473417,"00_0019",0,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,0,20,1123.1352622793,"00_0020",0,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,0,25,1184.30795870329,"00_0025",0,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,0,30,1204.09091354202,"00_0030",0,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,0,31,1183.82778390641,"00_0031",0,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,0,32,1143.89881947377,"00_0032",0,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,0,35,1228.84331927859,"00_0035",0,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,0,36,1257.99116278266,"00_0036",0,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,0,37,1196.45644957444,"00_0037",0,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,0,38,1105.69102145396,"00_0038",0,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,1,2,1120.83738487381,"00_0002",2,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,1,5,1146.79085370584,"00_0005",2,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,1,6,1188.61785498136,"00_0006",2,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,1,11,1142.47187588958,"00_0011",2,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,1,12,1162.43315783822,"00_0012",2,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,1,13,1163.16410365118,"00_0013",2,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,1,15,1378.64702232848,"00_0015",2,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,1,19,1094.20177554794,"00_0019",2,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,1,20,1095.30760788474,"00_0020",2,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,1,25,1203.78404112699,"00_0025",2,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,1,30,1204.94555107172,"00_0030",2,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,1,31,1179.0084201757,"00_0031",2,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,1,32,1127.86927149662,"00_0032",2,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,1,35,1222.41178465059,"00_0035",2,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,1,36,1218.10591283338,"00_0036",2,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,1,37,1215.05884259233,"00_0037",2,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,1,38,1104.93532786034,"00_0038",2,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,2,2,1130.39759236462,"00_0002",4,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
