"Metadata_Series","Metadata_T","TrackObjects_Label","Intensity_MeanIntensity_Ratio","TrackObjects_Label_uni","RealTime","Stim_All_Ch","Stim_All_S"
0,1,36,1154.16558201853,"00_0036",2,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,2,1198.9496125252,"00_0002",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,3,1108.72391055046,"00_0003",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,4,1145.89340163582,"00_0004",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,6,1193.4329504483,"00_0006",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,9,1225.62054378428,"00_0009",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,10,1179.0726226686,"00_0010",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,11,1195.03907217631,"00_0011",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,12,1212.27288216604,"00_0012",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,14,1158.16061891245,"00_0014",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,18,1257.19958743116,"00_0018",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,20,1200.68474720643,"00_0020",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,24,1167.3786004292,"00_0024",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,25,1179.89845586339,"00_0025",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,27,1127.89729569598,"00_0027",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,28,1162.17852822079,"00_0028",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,29,1183.75773484429,"00_0029",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,30,1243.00138614868,"00_0030",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,32,1224.15775496871,"00_0032",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,33,1113.57665531219,"00_0033",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,34,1172.80213183667,"00_0034",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,35,1166.29520108449,"00_0035",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,2,36,1145.47494647884,"00_0036",4,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,2,1205.54270498392,"00_0002",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,3,1096.04225954802,"00_0003",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,4,1143.18502934021,"00_0004",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,6,1176.10524774545,"00_0006",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,9,1220.41192837979,"00_0009",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,10,1179.96514003717,"00_0010",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,11,1169.86518460384,"00_0011",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,12,1205.63059000196,"00_0012",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,14,1155.26925681135,"00_0014",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,18,1247.25134308644,"00_0018",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,20,1200.72781189487,"00_0020",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,24,1164.50795532721,"00_0024",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,25,1187.32429275513,"00_0025",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,27,1126.38211271626,"00_0027",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,28,1171.47888743727,"00_0028",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,29,1180.9464402988,"00_0029",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,30,1250.63212725868,"00_0030",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,32,1220.64280823891,"00_0032",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,33,1106.56028353017,"00_0033",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,34,1175.75524653409,"00_0034",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,35,1175.44003056732,"00_0035",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,3,36,1145.86553876828,"00_0036",6,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,4,2,1213.05125778631,"00_0002",8,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,4,3,1121.42825370922,"00_0003",8,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,4,4,1159.95213867897,"00_0004",8,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,4,6,1188.12952355219,"00_0006",8,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,4,9,1228.92487660489,"00_0009",8,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,4,10,1151.08351927289,"00_0010",8,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,4,11,1196.54233418614,"00_0011",8,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,4,12,1213.90680476311,"00_0012",8,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,4,14,1155.66888565626,"00_0014",8,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,4,18,1248.14610869309,"00_0018",8,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,4,20,1202.47907853327,"00_0020",8,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
