"id","group","realtime","y"
"000_0003","Ch01: FGF 250 ng/ml 5'",0,1.01869821889588
"000_0003","Ch01: FGF 250 ng/ml 5'",2,0.993036474609345
"000_0003","Ch01: FGF 250 ng/ml 5'",4,0.997472267641898
"000_0003","Ch01: FGF 250 ng/ml 5'",6,0.986063119645291
"000_0003","Ch01: FGF 250 ng/ml 5'",8,1.00890183081708
"000_0003","Ch01: FGF 250 ng/ml 5'",10,1.00511764227205
"000_0003","Ch01: FGF 250 ng/ml 5'",12,1.0019762149117
"000_0003","Ch01: FGF 250 ng/ml 5'",14,0.995643941954873
"000_0003","Ch01: FGF 250 ng/ml 5'",16,0.999882494073815
"000_0003","Ch01: FGF 250 ng/ml 5'",18,1.02110603080128
"000_0003","Ch01: FGF 250 ng/ml 5'",20,0.997780699599652
"000_0003","Ch01: FGF 250 ng/ml 5'",22,1.00674972709914
"000_0003","Ch01: FGF 250 ng/ml 5'",24,0.994908874250011
"000_0003","Ch01: FGF 250 ng/ml 5'",26,1.0098803496546
"000_0003","Ch01: FGF 250 ng/ml 5'",28,1.00081571215589
"000_0003","Ch01: FGF 250 ng/ml 5'",30,0.987925037156865
"000_0003","Ch01: FGF 250 ng/ml 5'",32,0.987156060566963
"000_0003","Ch01: FGF 250 ng/ml 5'",34,0.997062187975477
"000_0003","Ch01: FGF 250 ng/ml 5'",36,1.00168295377274
"000_0003","Ch01: FGF 250 ng/ml 5'",38,1.00683838104131
"000_0003","Ch01: FGF 250 ng/ml 5'",40,1.02592823169281
"000_0003","Ch01: FGF 250 ng/ml 5'",42,0.995645147422639
"000_0003","Ch01: FGF 250 ng/ml 5'",44,1.17030930580701
"000_0003","Ch01: FGF 250 ng/ml 5'",46,1.13590282617119
"000_0003","Ch01: FGF 250 ng/ml 5'",48,1.10571595365326
"000_0003","Ch01: FGF 250 ng/ml 5'",50,1.09404543746731
"000_0003","Ch01: FGF 250 ng/ml 5'",52,1.07231884750262
"000_0003","Ch01: FGF 250 ng/ml 5'",54,1.04458495527115
"000_0003","Ch01: FGF 250 ng/ml 5'",56,1.0094744460836
"000_0003","Ch01: FGF 250 ng/ml 5'",58,1.00501558980949
"000_0003","Ch01: FGF 250 ng/ml 5'",60,1.01890675935766
"000_0003","Ch01: FGF 250 ng/ml 5'",62,1.01088872473377
"000_0003","Ch01: FGF 250 ng/ml 5'",64,1.00772699937956
"000_0003","Ch01: FGF 250 ng/ml 5'",66,1.02568525893434
"000_0003","Ch01: FGF 250 ng/ml 5'",68,1.05136108925334
"000_0003","Ch01: FGF 250 ng/ml 5'",70,1.04255391201238
"000_0003","Ch01: FGF 250 ng/ml 5'",72,1.05590874257539
"000_0003","Ch01: FGF 250 ng/ml 5'",74,1.05894062977657
"000_0003","Ch01: FGF 250 ng/ml 5'",76,1.068873520688
"000_0003","Ch01: FGF 250 ng/ml 5'",78,1.06327657881469
"000_0003","Ch01: FGF 250 ng/ml 5'",80,1.06573033312629
"000_0003","Ch01: FGF 250 ng/ml 5'",82,1.07035409103264
