"Metadata_Series","Metadata_T","TrackObjects_Label","Intensity_MeanIntensity_Ratio","TrackObjects_Label_uni","RealTime","Stim_All_Ch","Stim_All_S"
0,2,13,1195.89232203472,"00_0013",4,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,2,14,1129.19855565757,"00_0014",4,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,2,15,1130.4673339132,"00_0015",4,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,2,16,1174.64255295885,"00_0016",4,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,2,19,1176.48158659308,"00_0019",4,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,2,21,1245.90283171501,"00_0021",4,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,2,22,1193.36122499663,"00_0022",4,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,2,23,1194.13898592094,"00_0023",4,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,2,24,1168.20311545632,"00_0024",4,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,3,2,1157.31156872165,"00_0002",6,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,3,3,1170.56103239109,"00_0003",6,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,3,4,1216.09396025489,"00_0004",6,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,3,5,1197.57781450676,"00_0005",6,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
